Timestamp,Temp,Feels Like,Humidity,Wind Speed,Condition,Description
2026-04-18 18:00:00,27.3,30.09,77,4.89,Clouds,scattered clouds
2026-04-18 21:00:00,26.35,26.35,75,5.27,Clouds,few clouds
2026-04-19 00:00:00,25.05,25.54,74,4.73,Clouds,few clouds
2026-04-19 03:00:00,33.16,32.85,34,6.38,Clouds,few clouds
2026-04-19 06:00:00,40.86,39.05,15,5.92,Clouds,few clouds
2026-04-19 09:00:00,40.63,40.63,21,7.24,Clear,clear sky
2026-04-19 12:00:00,32.09,34.78,51,8.91,Clear,clear sky
2026-04-19 15:00:00,27.91,30.75,72,6.28,Clear,clear sky
2026-04-19 18:00:00,27.13,29.83,78,5.51,Clear,clear sky
2026-04-19 21:00:00,26.26,26.26,75,5.3,Clear,clear sky
2026-04-20 00:00:00,25.62,26.25,77,5.29,Clear,clear sky
2026-04-20 03:00:00,32.72,33.35,40,4.05,Clear,clear sky
2026-04-20 06:00:00,40.03,38.83,18,3.58,Clear,clear sky
2026-04-20 09:00:00,38.92,41.09,30,8.04,Clouds,few clouds
2026-04-20 12:00:00,32.4,35.92,53,7.98,Clouds,few clouds
2026-04-20 15:00:00,28.28,31.98,75,6.05,Clouds,overcast clouds
2026-04-20 18:00:00,27.33,30.83,83,5.76,Clouds,overcast clouds
2026-04-20 21:00:00,26.37,26.37,84,4.54,Clouds,few clouds
2026-04-21 00:00:00,25.66,26.55,87,4.97,Clouds,broken clouds
2026-04-21 03:00:00,33.04,34.29,42,5.26,Clouds,overcast clouds
2026-04-21 06:00:00,40.75,39.19,16,4.21,Clouds,scattered clouds
2026-04-21 09:00:00,40.69,40.72,21,7.0,Clear,clear sky
2026-04-21 12:00:00,32.0,35.11,53,8.55,Clear,clear sky
2026-04-21 15:00:00,28.03,31.87,78,5.86,Clear,clear sky
2026-04-21 18:00:00,26.96,29.84,82,5.57,Clear,clear sky
2026-04-21 21:00:00,26.2,26.2,79,5.8,Clouds,scattered clouds
2026-04-22 00:00:00,25.04,25.79,84,3.64,Clouds,few clouds
2026-04-22 03:00:00,31.62,33.04,47,2.42,Clear,clear sky
2026-04-22 06:00:00,39.2,38.0,19,0.66,Clear,clear sky
2026-04-22 09:00:00,39.79,40.38,24,7.03,Clear,clear sky
2026-04-22 12:00:00,33.24,35.64,46,6.89,Clear,clear sky
2026-04-22 15:00:00,28.22,31.54,73,4.65,Clear,clear sky
2026-04-22 18:00:00,27.22,29.42,72,4.47,Clear,clear sky
2026-04-22 21:00:00,26.5,26.5,68,5.16,Clear,clear sky
2026-04-23 00:00:00,25.94,26.44,71,4.06,Clear,clear sky
2026-04-23 03:00:00,33.68,33.98,36,2.82,Clear,clear sky
2026-04-23 06:00:00,39.77,39.05,20,1.39,Clear,clear sky
2026-04-23 09:00:00,39.74,41.4,27,7.28,Clear,clear sky
2026-04-23 12:00:00,33.82,36.46,45,7.52,Clear,clear sky
2026-04-23 15:00:00,28.58,31.83,70,6.1,Clear,clear sky
